Feed 	 Gradient 	 Offset
01 	 62.43871013434645 	 2.259559320548421
02 	 62.137343051409246 	 2.2551008830846877
03 	 59.978928158015776 	 2.372363740651044
04 	 57.5550210119109 	 2.496861528698318
05 	 56.742018947079686 	 2.5181055422289114
06 	 57.5492957599221 	 2.5175565229804486
07 	 72.47464956366662 	 1.9428446479581594
08 	 42.819707312859734 	 3.0000193193161655
09 	 54.720050116668574 	 2.6629411259060376
10 	 50.7832561891745 	 2.788412208854817
11 	 49.86410132753273 	 2.832002497424167
12 	 44.39027008058923 	 3.011381655063091
13 	 49.37471103557141 	 2.8750666229305004
14 	 39.57322725434351 	 3.2291706147699126
15 	 47.236040326348835 	 2.972050685760906
16 	 55.67935874862085 	 2.6281163191122654
17 	 55.96747903738264 	 2.598486694732532
18 	 47.327158631813205 	 2.858615002590582
19 	 46.62213313262781 	 2.8778733226881292
